study_id,bibtex_key,authors,authors_year,title,doi,venue,crop_or_domain,observation_regime,modality,identity_mechanism,class_attribute_family,evaluation_context,unique_instance_gt,metrics_reported,dedup_handled,evidence_status,assumptions_required,violated_conditions,evidence_pages,key_finding,limitations,retrieval_source,fulltext_path,review_order
R-9e1316b934e66409,ledger_r_9e1316b934e66409,"Abeyrathna, R. M. Rasika D. (59157040200); Nakaguchi, Victor Massaki (57853537400); Minn, Arkar (58198583400); Ahamed, Tofael (9269729600)","Abeyrathna, R. M. Rasika D. (59157040200); Nakaguchi, Victor Massaki (57853537400); Minn, Arkar (58198583400); Ahamed, Tofael (9269729600) (2023)",Recognition and Counting of Apples in a Dynamic State Using a 3D Camera and Deep Learning Algorithms for Robotic Harvesting Systems,10.3390/s23083810,Sensors,apple,video-continuous,RGB_D_Realsense_D455_plus_video_tractor,M3,maturity,"800 original images expanded to 6511 augmented images, split 4500/1500/511; 30 real apples attached to 10 artificial trees; three camera orientations at 0, 15, and 30 degrees and three speeds of 0.052, 0.069, and 0.098 m/s; model precision, recall, F1, and mAP@0.5; 3D distance reference measured for 30 apples three times; best RMSE 1.54 cm and counting accuracy up to 86.6 percent.",n,"800 original images expanded to 6511 augmented images, split 4500/1500/511; 30 real apples attached to 10 artificial trees; three camera orientations at 0, 15, and 30 degrees and three speeds of 0.052, 0.069, and 0.098 m/s; model precision, recall, F1, and mAP@0.5; 3D distance reference measured for 30 apples three times; best RMSE 1.54 cm and counting accuracy up to 86.6 percent.",implicit,direct,A3,,pp.1-19; Abstract; Sections 3.1-3.7; Table 1; Figs.8-20; Appendix A; Conclusion,"Combining RGB-D depth with deep detectors and Deep SORT supports dynamic apple localization and prevents the same apple from being counted repeatedly across consecutive frames. EfficientDet gives the lowest reported depth error at 15 degrees, while YOLOv5 and YOLOv7 provide the strongest counting result in the tested setup.","The outdoor evaluation uses an artificially constructed orchard with only 30 apples on 10 artificial trees, so it does not establish performance in a natural orchard canopy. The experiment contains one apple class and no maturity or other class attribute, and track IDs are local to a moving sequence rather than persistent across sessions or trees. The augmented image split may not establish independent scene or tree-level test conditions, and the dataset is available only from the authors upon reasonable request. The study does not evaluate global cross-view identity or class-wise unique inventory.",https://mdpi-res.com/d_attachment/sensors/sensors-23-03810/article_deploy/sensors-23-03810-with-cover.pdf?version=1681122147,literature/search/fulltext/00036_r-9e1316b934e66409_recognition-and-counting-of-apples-in-a-dynamic-state-using-a-3d-camera-and-deep-learning-.pdf,36
R-d594d85dc382f9ff,ledger_r_d594d85dc382f9ff,"Hu, Jing (58488224700); Fan, Chuang (58488461200); Wang, Zhoupu (58488343600); Ruan, Jinglin (58488285800); Wu, Suyin (58488285900)","Hu, Jing (58488224700); Fan, Chuang (58488461200); Wang, Zhoupu (58488343600); Ruan, Jinglin (58488285800); Wu, Suyin (58488285900) (2023)",Fruit Detection and Counting in Apple Orchards Based on Improved Yolov7 and Multi-Object Tracking Methods,10.3390/s23135903,Sensors,apple,video-continuous,RGB_images_and_video,M3,maturity,"4246 apple images from public datasets and free internet images, 80 percent training and 20 percent validation; YOLOv7, YOLOv7-CBAM, and YOLOv7-CA ablation; three test videos with 290 manual fruit counts in total; detection precision 0.924, recall 0.816, mAP@0.5 0.913, F1 0.85; proposed tracker relative MAE 0.064 overall.",n,"4246 apple images from public datasets and free internet images, 80 percent training and 20 percent validation; YOLOv7, YOLOv7-CBAM, and YOLOv7-CA ablation; three test videos with 290 manual fruit counts in total; detection precision 0.924, recall 0.816, mAP@0.5 0.913, F1 0.85; proposed tracker relative MAE 0.064 overall.",implicit,direct,A3,"P2,P5",pp.1-14; Abstract; Sections 2.1-2.5; Tables 1-3; Figs.1-9; Discussion; Conclusions,"Adding coordinate attention improves single-frame apple detection, while SURF appearance features combined with Kalman motion prediction and cascade matching reduces repeated counts across video frames compared with detector-only counting and SORT.","The training data come from public datasets and free internet images, with pseudo-labeling and secondary annotation for some images; the tracking evaluation uses only three videos and does not report ID switch, MOTA, HOTA, or a full identity metric. Performance is unstable across lighting and shading conditions, and the paper does not establish tree-disjoint or field-disjoint generalization, 3D cross-view fusion, persistent identity across sessions, or class-wise inventory attributes.",https://mdpi-res.com/d_attachment/sensors/sensors-23-05903/article_deploy/sensors-23-05903-with-cover.pdf?version=1695794783,literature/search/fulltext/00038_r-d594d85dc382f9ff_fruit-detection-and-counting-in-apple-orchards-based-on-improved-yolov7-and-multi-object-t.pdf,38
R-e05253cccd616801,lai2023palmslr,"Lai, Jin Wern (57887765800); Ramli, Hafiz Rashidi (57189290778); Ismail, Luthffi Idzhar (55232596700); Wan Hasan, Wan Zuha (57219410727)","Lai, Jin Wern (57887765800); Ramli, Hafiz Rashidi (57189290778); Ismail, Luthffi Idzhar (55232596700); Wan Hasan, Wan Zuha (57219410727) (2023)",Oil Palm Fresh Fruit Bunch Ripeness Detection Methods: A Systematic Review,10.3390/agriculture13010156,Agriculture (Switzerland),oil palm FFB,single-view,RGB_colour_vision_LiDAR_spectral_NIR_Raman_fluorescence_inductive_thermal_and_other_sensors,M0,maturity,"English-language Google Scholar search using oil-palm FFB maturity and detection terms, publication years 2012-2022; methods categorized by sample type, sensor, classifier, and deployment location; 11 unique approaches; abstract reports 51 papers and discussion reports 48 articles; colour vision appears in 22 articles; computer vision, LiDAR, and inductive sensors are identified as having plantation testing.",y,"English-language Google Scholar search using oil-palm FFB maturity and detection terms, publication years 2012-2022; methods categorized by sample type, sensor, classifier, and deployment location; 11 unique approaches; abstract reports 51 papers and discussion reports 48 articles; colour vision appears in 22 articles; computer vision, LiDAR, and inductive sensors are identified as having plantation testing.",n-a,direct,,,pp.1-16; Abstract; Sections 1-4; Tables 1-3; Figs.1-2; References,"Existing oil-palm review literature is centered on ripeness classification and grading, with colour vision plus CNN presented as a feasible field direction. It does not formulate the broader design space of multi-view identity, duplicate suppression, or class-wise unique fruit inventory.","The search uses Google Scholar rather than a reproducible Scopus or Web of Science protocol and is restricted to English and 2012-2022. The paper is a secondary synthesis, not a primary benchmark, and contains an internal corpus-count discrepancy between the abstract and discussion. It does not evaluate cross-view association, persistent IDs, duplicate resolution, or tree-level inventory construction.",https://pdfs.semanticscholar.org/041b/e9f49af0ea6b14d14a53d5796bf0b0519cba.pdf,literature/search/fulltext/00040_r-e05253cccd616801_oil-palm-fresh-fruit-bunch-ripeness-detection-methods-a-systematic-review.pdf,40
R-fd5751e2ca2f7496,ledger_r_fd5751e2ca2f7496,Jordan A. James; Heather C. Manching; Matthew R. Mattia; Kim D. Bowman,Jordan A. James; Heather C. Manching; Matthew R. Mattia; Kim D. Bowman (2023),CitDet: A Benchmark Dataset for Citrus Fruit Detection,10.48550/arxiv.2309.05645,arXiv (Cornell University),citrus,single-view,RGB_still_images_ground_based_tree_views,M0,maturity,"579 images; 44,233 full-dataset bounding boxes; 60 varieties and 8 species/genera; 187 trees; tiled YOLOv7 AP 45.5, AP50 83.1; tree-yield front+back R2 0.754 detect-count and 0.793 filter-detect-count",n,"579 images; 44,233 full-dataset bounding boxes; 60 varieties and 8 species/genera; 187 trees; tiled YOLOv7 AP 45.5, AP50 83.1; tree-yield front+back R2 0.754 detect-count and 0.793 filter-detect-count",no,direct,A1,,1-7,"A public citrus benchmark makes on-tree versus fallen fruit explicit and improves tree-yield correlation through canopy filtering, but front/back aggregation does not establish unique fruit identity.","No cross-view fruit identity, tracking, ID-switch, HOTA, or ReID evaluation; front/back counts are summed by assumption; fully occluded fruit are unlabeled; small-object errors; no maturity classes; random train/test image split and tree-yield correlation are not equivalent to unique inventory.",https://arxiv.org/pdf/2309.05645,literature/search/fulltext/00041_r-fd5751e2ca2f7496_citdet-a-benchmark-dataset-for-citrus-fruit-detection.pdf,41
R-1c69e46dac45d45d,ledger_r_1c69e46dac45d45d,"Lin, Yishen (59847283000); Huang, Zifan (58849152900); Liang, Yun (55352015600); Liu, Yunfan (58849617200); Jiang, Weipeng (58848674300)","Lin, Yishen (59847283000); Huang, Zifan (58849152900); Liang, Yun (55352015600); Liu, Yunfan (58849617200); Jiang, Weipeng (58848674300) (2024)",AG-YOLO: A Rapid Citrus Fruit Detection Algorithm with Global Context Fusion,10.3390/agriculture14010114,Agriculture (Switzerland),citrus,single-view,RGB_still_images_ground_based_orchard,M0,maturity,"957 images; 670/190/97 train-validation-test; AG-YOLO P 90.6%, R 73.4%, mAP50 83.2%, mAP50:95 60.3%, APs 18.8%, APm 47.2%, APl 69.2%, 34.22 FPS",y,"957 images; 670/190/97 train-validation-test; AG-YOLO P 90.6%, R 73.4%, mAP50 83.2%, mAP50:95 60.3%, APs 18.8%, APm 47.2%, APl 69.2%, 34.22 FPS",no,direct,A1,,"1,4-5,9-10,13-14","Global context fusion with NextViT improves single-view citrus detection under severe occlusion, but does not resolve cross-view identity or duplicate counting.","Single-view RGB benchmark; no tracking, ReID, duplicate resolution, or unique-inventory metric; raw data only on request; ripe/unripe is not identity; small and selected dataset.",https://mdpi-res.com/d_attachment/agriculture/agriculture-14-00114/article_deploy/agriculture-14-00114.pdf,literature/search/fulltext/00042_r-1c69e46dac45d45d_ag-yolo-a-rapid-citrus-fruit-detection-algorithm-with-global-context-fusion.pdf,42
R-3e129b7285059b95,ledger_r_3e129b7285059b95,"Ambrus, B. (57894140200); Teschner, G. (58030586300); Kovács, A.J. (56404010100); Neményi, M. (6602525618); Helyes, L. (56750261500); Pék, Z. (56016257400); Takács, S. (57202782614); Alahmad, T. (58669567800); Nyéki, A. (6507906325)","Ambrus, B. (57894140200); Teschner, G. (58030586300); Kovács, A.J. (56404010100); Neményi, M. (6602525618); Helyes, L. (56750261500); Pék, Z. (56016257400); Takács, S. (57202782614); Alahmad, T. (58669567800); Nyéki, A. (6507906325) (2024)",Field-grown tomato yield estimation using point cloud segmentation with 3D shaping and RGB pictures from a field robot and digital single lens reflex cameras,10.1016/j.heliyon.2024.e37997,Heliyon,tomato,single-view,RGB_DSLR_and_robot_RGB_plus_LiDAR_calibration_plus_Ciclop_3D_scan,M0/M4,maturity,Robot validation F1 59.3%; red F1 0.70 and green F1 0.22; 3D model weight relative error 21.90% with SD 17.9665%; DSLR all-treatment weight R2 0.867; robot all-treatment weight R2 0.907; DSLR all-treatment count R2 0.744; robot all-treatment count R2 0.806,n,Robot validation F1 59.3%; red F1 0.70 and green F1 0.22; 3D model weight relative error 21.90% with SD 17.9665%; DSLR all-treatment weight R2 0.867; robot all-treatment weight R2 0.907; DSLR all-treatment count R2 0.744; robot all-treatment count R2 0.806,no,direct,"A1,A2,A4",P1,"1,4-6,9-12,14-16,18","Combining robot/DSLR RGB perception with 3D fruit shape supports field tomato count and weight estimation, but canopy occlusion and one-sided views cause missing fruit and prevent unique inventory.","No persistent fruit ID, cross-view ReID, duplicate resolution, ID-switch/HOTA, or class-wise global inventory; small and treatment-specific field experiment; weak green-tomato classification; one-sided robot view and canopy occlusion; data available on request; 3D scanner models harvested fruit shape rather than associating views.",https://europepmc.org/articles/PMC11619985?pdf=render,literature/search/fulltext/00043_r-3e129b7285059b95_field-grown-tomato-yield-estimation-using-point-cloud-segmentation-with-3d-shaping-and-rgb.pdf,43
R-659a7da54b8a43e6,ledger_r_659a7da54b8a43e6,"Vélez, Sergio (57215185725); Ariza-Sentís, Mar (56964491300); Valente, João (42062501000)","Vélez, Sergio (57215185725); Ariza-Sentís, Mar (56964491300); Valente, João (42062501000) (2024)","EscaYard: Precision viticulture multimodal dataset of vineyards affected by Esca disease consisting of geotagged smartphone images, phytosanitary status, UAV 3D point clouds and Orthomosaics",10.1016/j.dib.2024.110497,Data in Brief,grape,aerial,geotagged_smartphone_RGB_plus_UAV_multispectral_orthomosaic_and_SfM_point_cloud_plus_RTK_GNSS,M4,maturity,253 smartphone images; 10 UAV 3D point clouds; 2 orthomosaics; RTK trunk locations; per-plant cluster counts for 42 plants; open Zenodo dataset,n,253 smartphone images; 10 UAV 3D point clouds; 2 orthomosaics; RTK trunk locations; per-plant cluster counts for 42 plants; open Zenodo dataset,n-a,transferable,"A2,A4",,"1-5,7-10,13","Geospatial plant anchors can align ground imagery, aerial multimodal data, and plant-level fruit-cluster counts, providing an agricultural transfer pattern for cross-observation registration.","Identity is at plant level, not individual fruit or bunch level; no fruit-level detection/tracking/ReID or duplicate-resolution evaluation; dataset article does not benchmark a unique inventory algorithm; two vineyards and one vine cultivar in one Spanish region; raw archives are large.",https://edepot.wur.nl/659703,literature/search/fulltext/00044_r-659a7da54b8a43e6_escayard-precision-viticulture-multimodal-dataset-of-vineyards-affected-by-esca-disease-co.pdf,44
R-92ac7cb4b797197d,ledger_r_92ac7cb4b797197d,"Wu, Haitao (59312180600); Mo, Xiaotian (59388983800); Wen, Sijian (59312094000); Wu, Kanglei (59165112900); Ye, Yu (59388658900); Wang, Yongmei (57244860600); Zhang, Youhua (36784200800)","Wu, Haitao (59312180600); Mo, Xiaotian (59388983800); Wen, Sijian (59312094000); Wu, Kanglei (59165112900); Ye, Yu (59388658900); Wang, Yongmei (57244860600); Zhang, Youhua (36784200800) (2024)",DNE-YOLO: A method for apple fruit detection in Diverse Natural Environments,10.1016/j.jksuci.2024.102220,Journal of King Saud University - Computer and Information Sciences,apple,single-view,RGB_still_images_natural_orchard_plus_synthetic_fog,M0,maturity,"10,304 images; 8,240/1,032/1,032 train-validation-test; overall P 90.7%, R 88.9%, mAP50 94.3%, 10.46M parameters, 25.4 GFLOPs, 2.9 ms; per-weather mAP50 95.2/95.4/95.3/88.9",n,"10,304 images; 8,240/1,032/1,032 train-validation-test; overall P 90.7%, R 88.9%, mAP50 94.3%, 10.46M parameters, 25.4 GFLOPs, 2.9 ms; per-weather mAP50 95.2/95.4/95.3/88.9",no,direct,A1,,"official full-text HTML: abstract, sections 2.1.3, 3, 3.4-3.6, conclusion","A lightweight detector remains accurate across several weather conditions, but fog and single-angle occlusion remain unresolved and the result is still intra-view detection.","No tracking, ReID, cross-view identity, duplicate resolution, ID-switch/HOTA, or unique inventory metric; one apple variety; distant fruit unlabeled; synthetic fog augmentation and single-angle limitations; no class-wise maturity attribute.",https://pdfs.semanticscholar.org/114a/4d6d282323d9ca096299fd02843d05a93f37.pdf | https://doi.org/10.1016/j.jksuci.2024.102220 | https://doaj.org/article/7573d668c69b4bcab6e67a573ff01b7f,,46
R-e8d88a31640ee300,ledger_r_e8d88a31640ee300,N P Vidhya; R Priya,N P Vidhya; R Priya (2024),Robust YOLO Approach for Mango Fruit Detection Using Computer Vision,10.47392/irjaem.2024.0552,International Research Journal on Advanced Engineering and Management (IRJAEM),mango,single-view,RGB_mobile_camera_still_images,M0,maturity,473 images; random 80/10/10 split; YOLOv7; image 640x640; batch 16; 100 epochs; reported mAP@0.5 99.5% and mAP@0.5:0.95 81.9% in training/validation phase,y,473 images; random 80/10/10 split; YOLOv7; image 640x640; batch 16; 100 epochs; reported mAP@0.5 99.5% and mAP@0.5:0.95 81.9% in training/validation phase,no,direct,A1,,"1,3-6","A simple transfer-learned YOLOv7 detector gives high reported single-view mango detection metrics, but evidence does not address cross-view unique counting.","No tracking, ReID, cross-view identity, duplicate resolution, ID-switch/HOTA, or unique inventory; random split; healthy mangoes only; one class; no separate numerical test metrics; reported accuracy context is training/validation.",https://goldncloudpublications.com/index.php/irjaem/article/download/641/655,literature/search/fulltext/00049_r-e8d88a31640ee300_robust-yolo-approach-for-mango-fruit-detection-using-computer-vision.pdf,49
M-66042c905cc191de,ledger_m_66042c905cc191de,"Hobart, Marius (57211394385); Pflanz, Michael (23098076200); Tsoulias, Nikos (57204039498); Weltzien, Cornelia (57189026254); Kopetzky, Mia (59522868200); Schirrmann, Michael (36895144600)","Hobart, Marius (57211394385); Pflanz, Michael (23098076200); Tsoulias, Nikos (57204039498); Weltzien, Cornelia (57189026254); Kopetzky, Mia (59522868200); Schirrmann, Michael (36895144600) (2025)",Fruit Detection and Yield Mass Estimation from a UAV Based RGB Dense Cloud for an Apple Orchard,10.3390/drones9010060,Drones,apple,aerial,UAV_RGB_multiview_photogrammetric_dense_point_cloud_plus_GNSS_RTK,M4,maturity,"0.5 ha; 1334 trees; 2 seasons; 4 rows per season; 14 blocks of 8 trees; 7.5 m and 10 m flights; apple count R2 about 0.41, 0.40, 0.53; main yield-mass R2 0.56 at 7.5 m and 0.76 at 10 m; one 7.5 m 2020 cloud failed",n,"0.5 ha; 1334 trees; 2 seasons; 4 rows per season; 14 blocks of 8 trees; 7.5 m and 10 m flights; apple count R2 about 0.41, 0.40, 0.53; main yield-mass R2 0.56 at 7.5 m and 0.76 at 10 m; one 7.5 m 2020 cloud failed",no,direct,"A2,A4",P1,"1-3,5-8,10-16","Low-altitude UAV RGB SfM can recover ripe-apple 3D positions and volumes for block-level yield-mass mapping, with 10 m outperforming 7.5 m in the main mass result.","No persistent fruit identity, cross-view ReID, duplicate resolution, ID-switch/HOTA, or class-wise unique inventory; block-level validation; leaf occlusion and noisy/shifted point clouds; one failed cloud and excluded outer rows; ripe red fruit only; reported conclusion R2 is inconsistent with the main results; data on request.",https://pubdata.leuphana.de/bitstreams/79db6170-b51b-4ceb-a43f-8a2cbbb4709c/download,literature/search/fulltext/00050_m-66042c905cc191de_fruit-detection-and-yield-mass-estimation-from-a-uav-based-rgb-dense-cloud-for-an-apple-or.pdf,50
M-949f38a7336860d8,ledger_m_949f38a7336860d8,"Guillem Montalbán Faet; Navarro Modesto, Enrique; Fayos-Jordan, Rafael; Benlloch-Caballero, Pablo","Guillem Montalbán Faet; Navarro Modesto, Enrique; Fayos-Jordan, Rafael; Benlloch-Caballero, Pablo (2025)",Dataset for orange fruit detection from UAV in citrus orchards,10.5281/zenodo.17866344,Zenodo (CERN European Organization for Nuclear Research),citrus,aerial,UAV_RGB_plus_G_RE_NIR_multispectral_nadir_images,M4,maturity,"550 synchronized captures; 2,750 images; 301,232 annotations; 14 m AGL; GSD 0.65 cm/pixel; 80/70 overlap; four annotators plus two reviewers; date-based 2-train/1-test recommendation; 70/15/15 alternative",n,"550 synchronized captures; 2,750 images; 301,232 annotations; 14 m AGL; GSD 0.65 cm/pixel; 80/70 overlap; four annotators plus two reviewers; date-based 2-train/1-test recommendation; 70/15/15 alternative",no,direct,"A2,A4","P2,P5","1-4,6-10",A public UAV dataset makes cross-spectral fruit annotations geometrically reproducible and provides a date-based evaluation protocol that can reduce leakage.,"Data article without detector benchmark; no persistent fruit identity across dates/views, ReID, duplicate resolution, ID-switch/HOTA, or unique inventory; one orchard and altitude; controlled midday illumination; large storage and SfM/reprojection cost; no multi-altitude evaluation.",https://europepmc.org/articles/PMC13090671?pdf=render,literature/search/fulltext/00051_m-949f38a7336860d8_dataset-for-orange-fruit-detection-from-uav-in-citrus-orchards.pdf,51
M-dcfc5d3cb912146d,ledger_m_dcfc5d3cb912146d,Soham Dutta; Soham Banerjee; Sneha Mahata; Anindya Sen,Soham Dutta; Soham Banerjee; Sneha Mahata; Anindya Sen (2025),"A Low-Cost UAV Deep Learning Pipeline for Integrated Apple Disease Diagnosis,Freshness Assessment, and Fruit Detection",10.48550/arxiv.2512.22990,arXiv (Cornell University),apple,aerial,RGB_UAV_ESP32_CAM_plus_RaspberryPi_edge_inference,M0,none,"Three collections about 10,000 samples each; apple detection split 79/21; YOLOv8 300 epochs; validation P 86.1%, R 85.3%, F1 85.7%, mAP50 91%, mAP50:95 63.1%; no numerical YOLO test metrics",y,"Three collections about 10,000 samples each; apple detection split 79/21; YOLOv8 300 epochs; validation P 86.1%, R 85.3%, F1 85.7%, mAP50 91%, mAP50:95 63.1%; no numerical YOLO test metrics",no,direct,A1,,1-7,"A low-cost RGB edge pipeline integrates orchard perception tasks, but it does not yet implement temporal consistency required for unique fruit inventory.","Preprint; incomplete dataset provenance and field protocol; no temporal tracking, ReID, cross-view identity, duplicate resolution, ID-switch/HOTA, or unique inventory; single fruit class; detection test metrics absent; temporal consistency is future work.",https://arxiv.org/pdf/2512.22990,literature/search/fulltext/00052_m-dcfc5d3cb912146d_a-low-cost-uav-deep-learning-pipeline-for-integrated-apple-disease-diagnosis-freshness-ass.pdf,52
R-134385f2faed38a6,ledger_r_134385f2faed38a6,Ainul Hakim Fizal Sabillah; Hafizal Mohamad; Sagaya Sabestinal Amalathas; Hwan Won Seung,Ainul Hakim Fizal Sabillah; Hafizal Mohamad; Sagaya Sabestinal Amalathas; Hwan Won Seung (2025),ENHANCING OIL PALM FRUIT DETECTION: A COMPARATIVE ANALYSIS OF YOLO ALGORITHMS,10.35631/ijirev.720001,International Journal of Innovation and Industrial Revolution,oil palm FFB,aerial,RGB_smartphone_and_UAV_video,M0,maturity,"119 images; about 8 minutes video; about 22 trees; YOLOv8 416 precision 0.96, recall 0.97, F1 0.97, mAP 98.98%; YOLOv7 416 mAP 98.87%; augmentation YOLOv3 mAP 71.16% vs 32.54% without",y,"119 images; about 8 minutes video; about 22 trees; YOLOv8 416 precision 0.96, recall 0.97, F1 0.97, mAP 98.98%; YOLOv7 416 mAP 98.87%; augmentation YOLOv3 mAP 71.16% vs 32.54% without",no,direct,A1,,"1-6,9-16","Input resolution and augmentation strongly affect FFB detection, and newer YOLO versions report higher single-view metrics, but the evidence does not establish unique bunch inventory.","Small dataset; no clear independent test/tree-disjoint split; best-iteration metrics may be training/validation; one FFB class and no ripeness labels; no tracking, ReID, duplicate resolution, ID-switch/HOTA, or unique inventory; circular video not used for identity.",https://gaexcellence.com/ijirev/article/download/4754/4427,literature/search/fulltext/00054_r-134385f2faed38a6_enhancing-oil-palm-fruit-detection-a-comparative-analysis-of-yolo-algorithms.pdf,54
R-22a356a76569c44a,goh2025palmdataset,"Goh, Jin Yu (58684374500); Mohamed Ali, Mohamed Sultan (57217387904); Md Yunos, Yusri (57820815400); Sheikh, Usman Ullah (34267792700); Khan, Muhamad Salman (59759059700)","Goh, Jin Yu (58684374500); Mohamed Ali, Mohamed Sultan (57217387904); Md Yunos, Yusri (57820815400); Sheikh, Usman Ullah (34267792700); Khan, Muhamad Salman (59759059700) (2025)",Outdoor RGB and Point Cloud Depth Dataset for Palm Oil Fresh Fruit Bunch Ripeness Classification and Localization,10.1038/s41597-025-04953-6,Scientific Data,oil palm FFB,single-view,RGB_plus_RealSense_depth_plus_point_cloud,M4,maturity,"400 RGB images; 400 depth maps; 400 point clouds; four Johor locations; registration mean error 1.8 cm at 3 m; DBSCAN cluster validation; table agreement 87.5% initial, 100% consensus, 95.2% recheck; abstract reports 92.5%",n,"400 RGB images; 400 depth maps; 400 point clouds; four Johor locations; registration mean error 1.8 cm at 3 m; DBSCAN cluster validation; table agreement 87.5% initial, 100% consensus, 95.2% recheck; abstract reports 92.5%",implicit,direct,"A2,A4",,1-9,"A natural-plantation RGB-depth-point-cloud resource supports instance-level FFB ripeness and 3D localization with explicit calibration, a strong foundation for multimodal inventory research.",Data descriptor without detector benchmark; no temporal/multi-view sequence identity or global deduplication; scene-local cluster IDs; 400 scenes only; tripod-style acquisition and no cross-session inventory; internal agreement figures differ between abstract and validation table.,https://europepmc.org/articles/PMC12022099?pdf=render,literature/search/fulltext/00055_r-22a356a76569c44a_outdoor-rgb-and-point-cloud-depth-dataset-for-palm-oil-fresh-fruit-bunch-ripeness-classifi.pdf,55
R-4d09eb83eea41b2f,ledger_r_4d09eb83eea41b2f,"Timprae, Warut (57437513200); Sagawa, Tatsuki (60212719000); Baar, Stefan (56816684200); Kondo, Satoshi (35956448800); Okada, Yoshifumi (59963267400); Sato, Kazuhiko (7406411489); Rumahorbo, Poltak Sandro (59508987800); Lyu, Yan (60213234400); Shibuya, Kyuki (60213105200); Gama, Yoshiki (60213492400); Hatanaka, Yoshiki (60212588800); Watanabe, Shinya (35450302800)","Timprae, Warut (57437513200); Sagawa, Tatsuki (60212719000); Baar, Stefan (56816684200); Kondo, Satoshi (35956448800); Okada, Yoshifumi (59963267400); Sato, Kazuhiko (7406411489); Rumahorbo, Poltak Sandro (59508987800); Lyu, Yan (60213234400); Shibuya, Kyuki (60213105200); Gama, Yoshiki (60213492400); Hatanaka, Yoshiki (60212588800); Watanabe, Shinya (35450302800) (2025)",Tomato Growth Monitoring and Phenological Analysis Using Deep Learning-Based Instance Segmentation and 3D Point Cloud Reconstruction,10.3390/su172210120,Sustainability (Switzerland),tomato,video-continuous,RGB_handheld_video_plus_SfM_MVS_Nerfacto_3D_point_cloud,M4,maturity,Laboro Tomato 804 images: YOLOv8x-Seg P=0.806 R=0.818 F1=0.812 and table segment mAP@0.5=0.881; text inconsistently states mAP at IoU 0.8. 3D diameter average error=8.01% versus caliper; summer size gmax=1.08 versus winter=0.87 and ripeness gmax=0.41 versus 0.21.,n,Laboro Tomato 804 images: YOLOv8x-Seg P=0.806 R=0.818 F1=0.812 and table segment mAP@0.5=0.881; text inconsistently states mAP at IoU 0.8. 3D diameter average error=8.01% versus caliper; summer size gmax=1.08 versus winter=0.87 and ripeness gmax=0.41 versus 0.21.,implicit,direct,"A2,A4","P1,P2,P5","1-2,4-5,7-10,12-20","Combines per-fruit instance segmentation, SfM/MVS/Nerfacto reconstruction, DBSCAN grouping, ellipsoid fitting, metric reference-ball calibration and CIELAB ripeness analysis for longitudinal greenhouse phenotyping.","One greenhouse setting and cherry-tomato cultivar; handheld uncalibrated camera with about 180-degree view; occlusion and lighting affect reconstruction; object selection, shape verification and tracking still require manual intervention; no global fruit re-identification, ID-switch, HOTA or cross-view deduplication metrics; data available upon request.",https://mdpi-res.com/d_attachment/sustainability/sustainability-17-10120/article_deploy/sustainability-17-10120.pdf,literature/search/fulltext/00056_r-4d09eb83eea41b2f_tomato-growth-monitoring-and-phenological-analysis-using-deep-learning-based-instance-segm.pdf,56
R-504a1d386928344f,ledger_r_504a1d386928344f,N. A. Hamid; A. R. Syafeeza; Norhashimah Mohd Saad; M. Ibrahim,N. A. Hamid; A. R. Syafeeza; Norhashimah Mohd Saad; M. Ibrahim (2025),A Mini Review on Sensor and Artificial Intelligence Approaches for Ripeness Detection and Classification of Oil Palm Fresh Fruit Bunch,10.47772/ijriss.2025.909000213,International Journal of Research and Innovation in Social Science,oil palm FFB,single-view,RGB_computer_vision_CNN_YOLO_MSI_HSI_physical_sensors_IoT_and_edge_computing,M0,maturity,"Secondary comparison across 46 references with summary tables for computer vision, YOLO, MSI/HSI and sensor systems; reported ranges include YOLO 91-96.7%, MSI/HSI 90-95%, and sensors 88-94.2%. No systematic database query, screening flow, dataset-level reanalysis or independent pooled evaluation is reported.",n,"Secondary comparison across 46 references with summary tables for computer vision, YOLO, MSI/HSI and sensor systems; reported ranges include YOLO 91-96.7%, MSI/HSI 90-95%, and sensors 88-94.2%. No systematic database query, screening flow, dataset-level reanalysis or independent pooled evaluation is reported.",n-a,direct,,,"1-9,10-12","Prior oil-palm review work concentrates on ripeness grading, sensors, spectral imaging, CNNs and YOLO deployment; it does not formulate cross-view identity, duplicate suppression or class-wise unique fruit inventory as a primary review problem.","Narrative mini-review with no reproducible search protocol or explicit inclusion/exclusion process; reported metrics are inherited from cited studies and cannot be merged with the current corpus; no cross-view association, persistent identity, duplicate resolution or tree-level unique inventory analysis; some cited claims require verification against primary studies.",https://rsisinternational.org/journals/ijriss/Digital-Library/volume-9-issue-9/2487-2498.pdf,literature/search/fulltext/00057_r-504a1d386928344f_a-mini-review-on-sensor-and-artificial-intelligence-approaches-for-ripeness-detection-and-.pdf,57
